Entity,Code,Year,"Indicator:Alcohol, consumers past 12 months (%) - Sex:Male","Indicator:Alcohol, consumers past 12 months (%) - Sex:Female",Population (historical estimates)
Afghanistan,AFG,2016,1,0.3,34636212
Albania,ALB,2016,65,37.6,2881064
Algeria,DZA,2016,4.8,1.5,40339328
Andorra,AND,2016,85.2,64.3,72563
Angola,AGO,2016,61.6,34.3,29154742
Antigua and Barbuda,ATG,2016,63.9,36.5,90575
Argentina,ARG,2016,79.9,55.7,43668236
Armenia,ARM,2016,38,16.2,2865841
Australia,AUS,2016,88.3,70.6,24195706
Austria,AUT,2016,87.7,68.9,8736491
Azerbaijan,AZE,2016,31.6,12.8,9976254
Bahamas,BHS,2016,57.9,30.5,395986
Bahrain,BHR,2016,11.5,3.8,1409668
Bangladesh,BGD,2016,3.5,1,159784576
Barbados,BRB,2016,65.2,37.4,278660
Belarus,BLR,2016,79,69.2,9708111
Belgium,BEL,2016,86.6,66.8,11316837
Belize,BLZ,2016,54.9,28.4,367327
Benin,BEN,2016,37,15.4,11260091
Bhutan,BTN,2016,39.8,17.3,749764
Bolivia,BOL,2016,59.1,31.9,11263016
Bosnia and Herzegovina,BIH,2016,62.1,34,3480985
Botswana,BWA,2016,44,20,2352419
Brazil,BRA,2016,54,27.3,206859584
Brunei,BRN,2016,37.3,29.1,426001
Bulgaria,BGR,2016,79.2,53.9,7245982
Burkina Faso,BFA,2016,51.2,23.2,19275504
Burundi,BDI,2016,43.7,20,10903329
Cambodia,KHM,2016,43.2,19.6,15624586
Cameroon,CMR,2016,46.9,21.4,23711626
Canada,CAN,2016,77.3,52.1,36113532
Cape Verde,CPV,2016,53.8,25,558399
Central African Republic,CAF,2016,50.8,24.9,4904182
Chad,TCD,2016,31.7,13.1,14592587
Chile,CHL,2016,80,55.8,18083880
China,CHN,2016,68.6,42.6,1401889664
Colombia,COL,2016,51.7,25.6,47625960
Comoros,COM,2016,6.2,1.9,746239
Congo,COG,2016,65.5,38,5186830
Cook Islands,COK,2016,64.5,37,17572
Costa Rica,CRI,2016,49.5,23.9,4945205
Cote d'Ivoire,CIV,2016,52.3,24.1,24213620
Croatia,HRV,2016,73.9,46.8,4223748
Cuba,CUB,2016,59.9,32.3,11342012
Cyprus,CYP,2016,80.6,56.6,1197889
Czechia,CZE,2016,86,65.4,10527584
Democratic Republic of Congo,COD,2016,49.2,23.8,81430976
Denmark,DNK,2016,85,64.2,5706856
Djibouti,DJI,2016,28.2,11.1,1023269
Dominica,DMA,2016,59,31.7,70098
Dominican Republic,DOM,2016,56.7,29.7,10527589
Ecuador,ECU,2016,60.3,32.9,16439588
Egypt,EGY,2016,4.2,1.4,99784032
El Salvador,SLV,2016,41.8,19,6250513
Equatorial Guinea,GNQ,2016,83.3,61.7,1398940
Eritrea,ERI,2016,29.2,11.6,3365288
Estonia,EST,2016,84.9,62.6,1315928
Eswatini,SWZ,2016,40.4,17.7,1142529
Ethiopia,ETH,2016,32.1,13.2,105293232
Fiji,FJI,2016,25.5,9.8,918371
Finland,FIN,2016,83.8,61.7,5495217
France,FRA,2016,85.8,65.6,63989320
Gabon,GAB,2016,78.6,54.1,2086210
Gambia,GMB,2016,37.8,16.2,2317212
Georgia,GEO,2016,48.9,23,3771112
Germany,DEU,2016,88.5,70.6,82331432
Ghana,GHA,2016,36.8,15.7,29554298
Greece,GRC,2016,78.3,53.3,10749742
Grenada,GRD,2016,63.6,35.7,119973
Guatemala,GTM,2016,38.6,16.9,16291004
Guinea,GIN,2016,30.7,12.6,11930991
Guinea-Bissau,GNB,2016,40.5,17.5,1834554
Guyana,GUY,2016,52.2,25.9,759097
Haiti,HTI,2016,47.9,22.9,10713845
Honduras,HND,2016,41.3,18.5,9460798
Hungary,HUN,2016,79.9,54.8,9815106
Iceland,ISL,2016,82.6,60.3,335677
India,IND,2016,51.4,25.4,1338636288
Indonesia,IDN,2016,32.3,13.2,261850176
Iran,IRN,2016,6,1.1,83306232
Iraq,IRQ,2016,4.7,1.5,38697940
Ireland,IRL,2016,89.5,73.1,4715791
Israel,ISR,2016,68.9,41.6,8159015
Italy,ITA,2016,81.2,54.4,60118628
Jamaica,JAM,2016,47.4,22.6,2802699
Japan,JPN,2016,71.3,43.7,126993856
Jordan,JOR,2016,4.5,1.4,9964659
Kazakhstan,KAZ,2016,54.3,27.2,18078558
Kenya,KEN,2016,33.8,14,47894668
Kiribati,KIR,2016,18.1,6.5,118529
Kuwait,KWT,2016,0.8,0.2,4048090
Kyrgyzstan,KGZ,2016,36.8,15.5,6018303
Laos,LAO,2016,53.4,27,6891366
Latvia,LVA,2016,86.5,65.5,1973477
Lebanon,LBN,2016,9.2,3,6258628
Lesotho,LSO,2016,26.1,9.9,2143876
Liberia,LBR,2016,42.7,18.9,4706106
Libya,LBY,2016,0.2,0.1,6282202
Lithuania,LTU,2016,89.1,70.9,2933676
Luxembourg,LUX,2016,95.8,87.7,583355
Madagascar,MDG,2016,30,12,25501944
Malawi,MWI,2016,33.6,13.9,17405624
Malaysia,MYS,2016,41.2,18.2,31526414
Maldives,MDV,2016,12.1,3.9,454263
Mali,MLI,2016,31.1,12.8,18700108
Malta,MLT,2016,76.2,50,467717
Mauritania,MRT,2016,1.4,0.5,4051896
Mauritius,MUS,2016,43.4,19.5,1293909
Mexico,MEX,2016,56.4,29.4,121519224
Micronesia (country),FSM,2016,22,8.1,109934
Moldova,MDA,2016,79.6,54.8,3225125
Mongolia,MNG,2016,46.3,21.5,3029559
Montenegro,MNE,2016,68.2,40.4,633264
Morocco,MAR,2016,3.9,1.3,35107272
Mozambique,MOZ,2016,30.5,12.3,27696500
Myanmar,MMR,2016,38.3,16.5,51892352
Namibia,NAM,2016,42.4,19.1,2323351
Nauru,NRU,2016,31.5,12.8,11463
Nepal,NPL,2016,38.4,17.1,27861186
Netherlands,NLD,2016,83.3,61.2,17124512
New Zealand,NZL,2016,85.1,64.8,4668088
Nicaragua,NIC,2016,44.9,20.8,6389237
Niger,NER,2016,28.8,11.7,20921748
Nigeria,NGA,2016,67,37.7,188666928
Niue,NIU,2016,45.5,21.1,1883
North Korea,PRK,2016,53.7,27.7,25389614
North Macedonia,MKD,2016,67.7,39.9,2110194
Norway,NOR,2016,88,69.8,5236591
Oman,OMN,2016,10.4,3.3,4398080
Pakistan,PAK,2016,1.8,0.6,213524848
Panama,PAN,2016,61.5,34,4026338
Papua New Guinea,PNG,2016,19.9,7.3,8899176
Paraguay,PRY,2016,48.4,23.2,6266623
Peru,PER,2016,67.1,39.6,31132776
Philippines,PHL,2016,45.3,21,104875272
Poland,POL,2016,80.7,56.4,38532108
Portugal,PRT,2016,81.6,58.3,10332751
Qatar,QAT,2016,52.1,25.2,2595175
Romania,ROU,2016,80.1,55.5,19797820
Russia,RUS,2016,61.4,55.4,145109152
Rwanda,RWA,2016,48.4,23.4,11930902
Saint Kitts and Nevis,KNA,2016,68.6,41.3,47814
Saint Lucia,LCA,2016,63.9,36.3,176429
Saint Vincent and the Grenadines,VCT,2016,60.3,32.8,105971
Samoa,WSM,2016,22.9,8.5,205559
Sao Tome and Principe,STP,2016,46.8,21.5,204640
Saudi Arabia,SAU,2016,7.3,3.5,33416272
Senegal,SEN,2016,30.4,12.5,14751356
Serbia,SRB,2016,73.8,47,7493288
Seychelles,SYC,2016,68.7,40.9,100521
Sierra Leone,SLE,2016,43.1,19.2,7493918
Singapore,SGP,2016,81.7,58.8,5711936
Slovakia,SVK,2016,82.9,60,5431205
Slovenia,SVN,2016,19.7,7.3,2090020
Solomon Islands,SLB,2016,1.1,0.3,628110
Somalia,SOM,2016,43.2,19.4,14292848
South Korea,KOR,2016,77,51.2,51309984
Spain,ESP,2016,80.9,57,46473320
Sri Lanka,LKA,2016,40.6,17.9,21425494
Sudan,SDN,2016,3.4,1.1,39377168
Suriname,SUR,2016,55.8,28.7,581462
Sweden,SWE,2016,83.9,62.2,9953322
Switzerland,CHE,2016,89.6,73,8372902
Syria,SYR,2016,3.4,0.7,18964252
Tajikistan,TJK,2016,29.6,11.8,8725326
Tanzania,TZA,2016,49.3,24,54401804
Thailand,THA,2016,54.6,27.7,70607032
Timor,TLS,2016,30.6,12.4,1224568
Togo,TGO,2016,36.5,15.2,7661361
Tonga,TON,2016,20.9,7.7,105721
Trinidad and Tobago,TTO,2016,72.5,45.6,1469334
Tunisia,TUN,2016,8.9,1.6,11685666
Turkey,TUR,2016,11,3,81019400
Turkmenistan,TKM,2016,42.5,19,5868568
Tuvalu,TUV,2016,21.1,7.8,10876
Uganda,UGA,2016,49.1,23.8,38748308
Ukraine,UKR,2016,68.7,56.1,44833568
United Arab Emirates,ARE,2016,21.7,7.9,8994266
United Kingdom,GBR,2016,84.3,63,65655204
United States,USA,2016,83,60.7,327210208
Uruguay,URY,2016,81.3,57.6,3413768
Uzbekistan,UZB,2016,30.1,12,31453576
Vanuatu,VUT,2016,19.9,7.4,283239
Venezuela,VEN,2016,51.2,25.2,30741464
Vietnam,VNM,2016,50,23.9,93126528
Yemen,YEM,2016,1.1,0.3,29274010
Zambia,ZMB,2016,38.3,16.5,16767758
Zimbabwe,ZWE,2016,25.7,10,14452705