12 - 12.59 a.m.;5.47%;5.35%;5.91%;6.92%;10.19%;16.10%;12.83%
1 - 1.59;6.45%;6.30%;6.97%;8.15%;12.00%;18.97%;15.12%
2 - 4.59;6.29%;6.15%;6.80%;7.95%;11.71%;18.51%;14.75%
5 - 6.59;2.90%;2.83%;3.13%;3.66%;5.39%;8.52%;6.79%
7 - 9.59;1.10%;1.08%;1.19%;1.40%;2.06%;3.25%;2.59%
10 - 1.59 p.m.;1.30%;1.27%;1.40%;1.64%;2.41%;3.81%;3.04%
2 - 4.29;2.04%;1.99%;2.20%;2.57%;3.79%;5.99%;4.77%
4.30 - 6.29;3.13%;3.06%;3.38%;3.96%;5.83%;9.22%;7.34%
6.30 - 8.59;4.41%;4.31%;4.77%;5.58%;8.21%;12.98%;10.34%
9 - 10.59;5.04%;4.92%;5.44%;6.37%;9.38%;14.82%;11.81%
11 - 11.59;5.54%;5.41%;5.99%;7.01%;10.32%;16.31%;12.99%
;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday